Vh (volts),Ih (amperes),Ip (amperes),Th=Tc (celsius),Qc-remove (watts),(Qc-remove)/Ip (volts),unc Vh (volts),unc Ih (amperes),unc Ip (amperes),unc Qc-remove (watts),unc (Qc-removed)/Ip (volts),Pup (watts),unc Pup (watts),Qnet-power (watts),unc Qnet-power (watts),(Qnet-power/Ip) (volts),unc (Qnet-power/Ip) (volts),y == Qnet + 0.5Rp{IpSqrd} (watts)),unc IpSqrd,unc 0.5Rp{IpSqrd} (watts),unc y (watts)
12.49,0.07,0.155,27.8,0.8743,5.640645161,0.01,0.001,0.001,0.0125096,0.088532251,-0.0801,-0.040972785,0.7942,0.042839925,5.123870968,0.495752511,0.802488625,0.00031,0.000143783,0.042840166
12.07,0.068,0.154,27.7,0.82076,5.32961039,0.01,0.001,0.001,0.01208914,0.085791004,-0.0801,-0.040972785,0.74066,0.04271904,4.809480519,0.476603305,0.74884202,0.000308,0.000142444,0.042719277
11.48,0.065,0.108,27.1,0.7462,6.909259259,0.01,0.001,0.001,0.011498387,0.124209007,-0.0801,-0.040972785,0.6661,0.042555634,6.167592593,0.712374422,0.67012408,0.000216,8.79205E-05,0.042555725
11.03,0.062,0.126,27,0.68386,5.427460317,0.01,0.001,0.001,0.011047411,0.097687621,-0.0801,-0.040972785,0.60376,0.042436004,4.791746032,0.543745154,0.60923722,0.000252,0.000107663,0.042436141
10.64,0.061,0.099,26.8,0.64904,6.555959596,0.01,0.001,0.001,0.010657472,0.126388748,-0.09612,-0.046169192,0.55292,0.047383288,5.585050505,0.737668551,0.556301345,0.000198,7.87605E-05,0.047383353
10.05,0.057,0.089,26.6,0.57285,6.436516854,0.01,0.001,0.001,0.010066151,0.134247871,-0.09612,-0.046169192,0.47673,0.0472538,5.356516854,0.777357091,0.479462745,0.000178,6.91018E-05,0.047253851
9.64,0.056,0.061,26.3,0.53984,8.849836066,0.01,0.001,0.001,0.009656252,0.214724562,-0.09612,-0.046169192,0.44372,0.047168183,7.274098361,1.210508985,0.445003745,0.000122,4.46442E-05,0.047168204
9.49,0.055,0.065,26.2,0.52195,8.03,0.01,0.001,0.001,0.009505924,0.191440197,-0.09612,-0.046169192,0.42583,0.047137637,6.551230769,1.089125099,0.427287625,0.00013,4.79284E-05,0.047137661
8.65,0.051,0.043,25.8,0.44115,10.25930233,0.01,0.001,0.001,0.008665022,0.312300458,-0.09612,-0.046169192,0.34503,0.046975279,8.023953488,1.640348064,0.345667905,0.000086,3.05779E-05,0.046975289
8.24,0.048,0.033,25.6,0.39552,11.98545455,0.01,0.001,0.001,0.008253969,0.440988872,-0.09612,-0.046169192,0.2994,0.046901197,9.072727273,2.124693422,0.299775705,0.000066,2.31829E-05,0.046901203
7.77,0.046,0.032,25.5,0.35742,11.169375,0.01,0.001,0.001,0.007783605,0.425435712,-0.09612,-0.046169192,0.2613,0.046820709,8.165625,2.055351384,0.26165328,0.000064,2.24567E-05,0.046820714
7.26,0.044,0.011,25.3,0.31944,29.04,0.01,0.001,0.001,0.007273321,2.72154368,-0.09612,-0.046169192,0.22332,0.046738586,20.30181818,7.451383751,0.223361745,0.000022,7.60542E-06,0.046738587
