Vp (volts),Ip (amperes),Ttop (Celsius),Tbottom (Celsius),Take,R (ohms)
0.239,0.266,19.9,23.6,1,0.708210526
0.24,0.266,19.8,23.6,2,0.706827068
0.24,0.266,19.8,23.6,3,0.706827068
0.241,0.266,19.8,23.6,4,0.710586466
0.242,0.266,19.8,23.6,5,0.714345865
0.242,0.266,19.8,23.7,6,0.709203008
0.243,0.265,19.7,23.6,7,0.71565283
0.243,0.265,19.7,23.6,8,0.71565283
0.243,0.266,19.7,23.6,9,0.712962406
0.243,0.265,19.6,23.6,10,0.710490566
0.244,0.265,19.6,23.6,11,0.714264151
0.244,0.266,19.6,23.7,12,0.70643609
0.244,0.266,19.5,23.6,13,0.70643609
0.244,0.265,19.5,23.7,14,0.703939623
0.245,0.266,19.5,23.6,15,0.710195489
0.245,0.266,19.4,23.6,16,0.705052632
0.245,0.266,19.4,23.6,17,0.705052632
0.245,0.266,19.4,23.6,18,0.705052632
0.245,0.265,19.4,23.6,19,0.707713208
0.245,0.265,19.3,23.6,20,0.702550943
0.246,0.265,19.3,23.6,21,0.706324528
0.246,0.265,19.3,23.6,22,0.706324528
0.246,0.265,19.3,23.6,23,0.706324528
0.246,0.265,19.3,23.5,24,0.711486792
0.246,0.265,19.2,23.6,25,0.701162264
0.246,0.265,19.2,23.6,26,0.701162264
0.246,0.265,19.2,23.6,27,0.701162264
0.246,0.265,19.2,23.6,28,0.701162264
0.246,0.265,19.2,23.6,29,0.701162264
0.246,0.265,19.1,23.6,30,0.696
0.246,0.265,19.1,23.5,31,0.701162264
0.246,0.265,19.2,23.6,32,0.701162264
0.246,0.265,19.2,23.6,33,0.701162264
0.246,0.265,19.2,23.6,34,0.701162264
0.246,0.265,19.1,23.6,35,0.696
0.246,0.265,19.1,23.5,36,0.701162264
0.246,0.265,19.1,23.5,37,0.701162264
0.246,0.265,19.1,23.6,38,0.696
0.246,0.265,19.1,23.6,39,0.696
0.246,0.265,19,23.6,40,0.690837736
0.246,0.265,19,23.5,41,0.696
0.247,0.265,19,23.5,42,0.699773585
0.246,0.265,19,23.5,43,0.696
0.247,0.265,19,23.5,44,0.699773585
0.247,0.265,19,23.5,45,0.699773585
0.247,0.265,19,23.5,46,0.699773585
0.247,0.265,19,23.5,47,0.699773585
0.247,0.265,19,23.5,48,0.699773585
0.247,0.265,18.9,23.5,49,0.694611321
0.246,0.265,18.9,23.5,50,0.690837736
0.246,0.265,18.9,23.5,51,0.690837736
0.246,0.265,18.9,23.5,52,0.690837736
0.246,0.265,18.9,23.5,53,0.690837736
0.247,0.265,18.9,23.5,54,0.694611321
0.247,0.265,18.9,23.5,55,0.694611321
0.247,0.265,18.9,23.5,56,0.694611321
0.247,0.265,18.9,23.5,57,0.694611321
0.247,0.265,18.9,23.4,58,0.699773585
0.247,0.265,18.8,23.5,59,0.689449057
0.247,0.265,18.8,23.4,60,0.694611321
0.247,0.265,18.8,23.5,61,0.689449057
0.247,0.265,18.8,23.5,62,0.689449057
0.247,0.265,18.8,23.4,63,0.694611321
0.247,0.265,18.8,23.4,64,0.694611321
0.247,0.265,18.8,23.5,65,0.689449057
0.247,0.265,18.8,23.4,66,0.694611321
0.247,0.265,18.8,23.4,67,0.694611321
0.247,0.265,18.8,23.4,68,0.694611321
0.247,0.265,18.8,23.4,69,0.694611321
0.247,0.265,18.8,23.4,70,0.694611321
0.247,0.265,18.8,23.4,71,0.694611321
0.247,0.265,18.8,23.4,72,0.694611321
0.247,0.265,18.8,23.4,73,0.694611321
0.247,0.265,18.8,23.5,74,0.689449057
0.247,0.265,18.7,23.4,75,0.689449057
0.247,0.265,18.7,23.4,76,0.689449057
0.247,0.265,18.7,23.4,77,0.689449057
0.247,0.265,18.8,23.4,78,0.694611321
0.247,0.265,18.7,23.4,79,0.689449057
0.247,0.265,18.7,23.4,80,0.689449057
0.247,0.265,18.7,23.4,81,0.689449057
0.247,0.265,18.7,23.4,82,0.689449057
0.247,0.265,18.7,23.4,83,0.689449057
0.247,0.265,18.7,23.4,84,0.689449057
0.247,0.265,18.7,23.4,85,0.689449057
0.247,0.265,18.7,23.4,86,0.689449057
0.247,0.266,18.7,23.4,87,0.686857143
0.247,0.265,18.7,23.4,88,0.689449057
0.247,0.265,18.7,23.3,89,0.694611321
0.247,0.265,18.7,23.3,90,0.694611321
0.247,0.265,18.7,23.4,91,0.689449057
0.246906977,0.265023256,18.78604651,23.42790698,Rep. ave.,0.692039065
