Vp (volts),Ip (amperes),Ttop (Celsius),Tbottom (Celsius),Take,R (ohms)
0.181,0.198,20.8,23.9,1,0.699959596
0.181,0.198,20.8,23.9,2,0.699959596
0.182,0.198,20.7,23.9,3,0.69810101
0.182,0.198,20.7,23.9,4,0.69810101
0.183,0.198,20.7,23.9,5,0.703151515
0.183,0.198,20.7,23.9,6,0.703151515
0.183,0.198,20.7,23.9,7,0.703151515
0.183,0.198,20.7,23.9,8,0.703151515
0.184,0.198,20.6,23.9,9,0.701292929
0.184,0.198,20.6,23.9,10,0.701292929
0.184,0.198,20.6,23.9,11,0.701292929
0.184,0.198,20.6,23.9,12,0.701292929
0.184,0.198,20.5,23.9,13,0.694383838
0.184,0.198,20.5,23.9,14,0.694383838
0.184,0.198,20.5,23.9,15,0.694383838
0.184,0.198,20.5,23.9,16,0.694383838
0.184,0.198,20.5,23.9,17,0.694383838
0.185,0.198,20.5,23.9,18,0.699434343
0.185,0.198,20.4,23.9,19,0.692525253
0.185,0.198,20.4,23.9,20,0.692525253
0.185,0.198,20.4,23.9,21,0.692525253
0.185,0.198,20.3,23.8,22,0.692525253
0.185,0.198,20.3,23.8,23,0.692525253
0.186,0.198,20.3,23.9,24,0.690666667
0.186,0.198,20.3,23.8,25,0.697575758
0.186,0.198,20.3,23.9,26,0.690666667
0.186,0.198,20.3,23.9,27,0.690666667
0.186,0.198,20.3,23.8,28,0.697575758
0.186,0.198,20.2,23.8,29,0.690666667
0.186,0.198,20.2,23.9,30,0.683757576
0.186,0.198,20.2,23.9,31,0.683757576
0.186,0.198,20.2,23.9,32,0.683757576
0.186,0.198,20.2,23.8,33,0.690666667
0.186,0.198,20.2,23.8,34,0.690666667
0.186,0.198,20.2,23.8,35,0.690666667
0.186,0.198,20.2,23.9,36,0.683757576
0.186,0.198,20.2,23.8,37,0.690666667
0.186,0.198,20.2,23.8,38,0.690666667
0.186,0.198,20.1,23.8,39,0.683757576
0.186,0.198,20.1,23.8,40,0.683757576
0.186,0.198,20.1,23.8,41,0.683757576
0.186,0.198,20.1,23.8,42,0.683757576
0.186,0.198,20.1,23.8,43,0.683757576
0.186,0.198,20.1,23.8,44,0.683757576
0.186,0.198,20.1,23.8,45,0.683757576
0.186,0.198,20.1,23.8,46,0.683757576
0.186,0.198,20.1,23.7,47,0.690666667
0.186,0.198,20,23.8,48,0.676848485
0.186,0.197,20,23.8,49,0.680284264
0.186,0.198,20,23.7,50,0.683757576
0.186,0.198,20,23.8,51,0.676848485
0.186,0.198,20,23.7,52,0.683757576
0.186,0.198,20,23.8,53,0.676848485
0.186,0.198,20,23.8,54,0.676848485
0.186,0.198,20,23.7,55,0.683757576
0.186,0.198,20,23.7,56,0.683757576
0.186,0.198,20,23.7,57,0.683757576
0.186,0.198,20,23.7,58,0.683757576
0.186,0.198,20,23.7,59,0.683757576
0.186,0.197,20,23.7,60,0.687228426
0.186,0.198,20,23.7,61,0.683757576
0.186,0.198,20,23.7,62,0.683757576
0.186,0.198,20,23.7,63,0.683757576
0.187,0.198,20,23.7,64,0.688808081
0.186,0.198,20,23.7,65,0.683757576
0.187,0.198,20,23.7,66,0.688808081
0.186,0.198,20,23.7,67,0.683757576
0.187,0.198,20,23.7,68,0.688808081
0.187,0.198,20,23.7,69,0.688808081
0.187,0.198,20,23.7,70,0.688808081
0.187,0.198,20,23.7,71,0.688808081
0.187,0.198,19.9,23.7,72,0.68189899
0.187,0.198,19.9,23.7,73,0.68189899
0.187,0.198,19.9,23.7,74,0.68189899
0.187,0.198,19.9,23.7,75,0.68189899
0.187,0.198,19.9,23.7,76,0.68189899
0.186,0.198,19.9,23.7,77,0.676848485
0.187,0.198,19.9,23.7,78,0.68189899
0.187,0.198,19.9,23.7,79,0.68189899
0.187,0.198,19.9,23.6,80,0.688808081
0.187,0.198,19.9,23.6,81,0.688808081
0.186,0.198,19.9,23.6,82,0.683757576
0.187,0.198,19.9,23.7,83,0.68189899
0.187,0.198,19.9,23.6,84,0.688808081
0.186485714,0.197971429,19.96285714,23.69714286,Rep. Av.,0.683941014
